timestamp_utc,plant_id,source_tag,temperature_c,pressure_kpa,airflow_m3_h,co2_in_ppm,co2_out_ppm,fan_power_kw,capture_rate_kg_h
2026-09-01T00:00:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,24.7,100.16,4775.03,418.36,232.75,36.06,1.737
2026-09-01T00:05:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.96,100.31,4921.92,413.72,251.6,35.03,1.564
2026-09-01T00:10:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,21.63,100.58,5149.88,426.08,259.04,35.54,1.686
2026-09-01T00:15:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.55,100.12,5305.82,429.76,256.12,32.93,1.806
2026-09-01T00:20:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,26.29,100.91,4592.75,415.32,226.45,35.62,1.7
2026-09-01T00:25:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.54,101.85,5036.23,436.35,258.39,35.31,1.757
2026-09-01T00:30:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.65,101.58,5361.71,426.86,238.84,32.27,1.976
2026-09-01T00:35:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.64,100.79,4579.79,418.59,259.48,33.67,1.428
2026-09-01T00:40:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,24.68,100.98,4870.18,418.03,252.2,37.62,1.583
2026-09-01T00:45:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,24.74,101.56,4671.14,430.5,264.18,34.28,1.523
2026-09-01T00:50:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,26.45,101.64,5056.95,429.43,234.35,36.66,1.934
2026-09-01T00:55:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.65,100.18,4815.45,419.43,255.39,37.66,1.548
2026-09-01T01:00:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.88,100.86,5155.44,422.5,227.53,34.75,1.97
2026-09-01T01:05:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.82,100.69,5061.37,419.31,239.65,37.39,1.782
2026-09-01T01:10:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.5,100.63,5497.54,425.23,264.03,32.28,1.737
2026-09-01T01:15:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.05,101.61,5292.08,423.13,263.88,34.29,1.652
2026-09-01T01:20:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,26.48,101.37,5471.08,433.66,272.71,36.32,1.726
2026-09-01T01:25:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,24.91,101.39,4766.83,428.38,265.1,34.61,1.526
2026-09-01T01:30:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.77,102.39,5375.85,419.32,243.18,33.07,1.856
2026-09-01T01:35:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,26.06,102.19,4798.44,428.33,243.77,32.92,1.736
2026-09-01T01:40:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.31,101.39,5278.63,425.73,268.18,33.94,1.63
2026-09-01T01:45:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,21.6,102.33,5378.72,432.96,259.45,32.35,1.829
2026-09-01T01:50:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.89,102.37,4585.65,424.66,264.6,36.56,1.439
2026-09-01T01:55:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.33,100.41,4975.28,426.2,257.21,37.23,1.648
2026-09-01T02:00:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.62,100.61,5039.3,430.52,262.57,33.87,1.659
2026-09-01T02:05:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,26.48,101.66,4938.1,425.42,262.87,33.35,1.573
2026-09-01T02:10:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.19,101.51,4730.11,418.29,260.55,35.79,1.462
2026-09-01T02:15:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.64,102.27,5359.64,414.7,251.39,36.01,1.716
2026-09-01T02:20:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.57,100.42,5435.51,426.71,248.66,36.71,1.897
2026-09-01T02:25:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.54,100.56,4596.93,423.35,248.78,34.8,1.573
2026-09-01T02:30:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.15,101.72,5484.17,415.36,244.95,34.04,1.832
2026-09-01T02:35:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.81,100.7,4690.21,423.77,249.1,33.67,1.606
2026-09-01T02:40:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.75,102.32,4943.13,433.67,249.35,32.3,1.786
2026-09-01T02:45:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,26.5,102.11,5469.0,435.23,237.26,33.0,2.122
2026-09-01T02:50:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.93,100.61,4901.04,414.41,245.37,37.91,1.624
2026-09-01T02:55:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,,101.98,4955.01,423.15,226.08,37.97,1.914
2026-09-01T03:00:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,24.28,101.82,4654.8,420.12,223.98,35.48,1.789
2026-09-01T03:05:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,24.21,101.9,4557.17,427.02,247.55,37.12,1.603
2026-09-01T03:10:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.29,102.41,4580.11,417.46,238.16,36.05,1.61
2026-09-01T03:15:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.68,100.39,5390.29,418.91,239.01,35.72,1.901
2026-09-01T03:20:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.6,101.5,5022.78,435.43,265.43,36.3,1.674
2026-09-01T03:25:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.69,101.05,5171.69,420.2,251.44,36.51,1.711
2026-09-01T03:30:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,21.86,101.2,5498.45,436.91,272.05,33.28,1.777
2026-09-01T03:35:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.83,102.34,5380.86,434.1,257.44,32.95,1.863
2026-09-01T03:40:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.67,101.79,5111.68,436.69,246.56,32.05,1.905
2026-09-01T03:45:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.59,100.82,5163.39,435.53,268.54,32.69,1.69
2026-09-01T03:50:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.04,101.43,4772.35,427.52,238.66,33.22,1.767
2026-09-01T03:55:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,24.67,100.73,4988.53,434.73,237.1,32.55,1.932
2026-09-01T04:00:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.62,100.76,4503.55,431.51,244.36,33.57,1.652
2026-09-01T04:05:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.21,101.42,4927.69,413.23,257.23,37.3,1.507
2026-09-01T04:10:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,26.02,101.41,5334.6,426.98,262.67,32.76,1.718
2026-09-01T04:15:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.04,102.26,5296.12,433.66,234.22,33.26,2.07
2026-09-01T04:20:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.75,100.35,5280.12,434.22,255.91,35.72,1.845
2026-09-01T04:25:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.27,102.33,5364.61,436.43,239.57,37.29,2.07
2026-09-01T04:30:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,21.62,101.87,4832.19,435.34,239.34,37.18,1.856
2026-09-01T04:35:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.55,100.74,5287.37,415.59,225.58,37.15,1.969
2026-09-01T04:40:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.61,102.06,4960.3,420.32,231.37,33.37,1.837
2026-09-01T04:45:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,21.62,100.56,4828.26,433.74,231.32,33.67,1.916
2026-09-01T04:50:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,24.71,101.06,5481.15,425.87,228.3,32.69,2.123
2026-09-01T04:55:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,26.35,100.53,5462.53,419.37,259.66,34.61,1.71
2026-09-01T05:00:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.14,100.85,5106.21,425.27,251.54,35.46,1.739
2026-09-01T05:05:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.77,101.8,4501.69,435.21,250.75,36.32,1.628
2026-09-01T05:10:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.21,101.71,4864.22,414.68,233.7,33.98,1.725
2026-09-01T05:15:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.07,102.14,5219.75,420.21,251.73,34.45,1.724
2026-09-01T05:20:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.51,100.81,4627.29,423.09,226.76,36.06,1.781
2026-09-01T05:25:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,26.01,101.58,4800.95,426.15,268.46,33.72,1.484
2026-09-01T05:30:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.65,101.49,5154.71,424.16,248.47,33.28,1.775
2026-09-01T05:35:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.87,102.26,5296.02,417.07,259.22,35.09,1.639
2026-09-01T05:40:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,24.66,100.9,5318.42,431.03,242.55,33.35,1.965
2026-09-01T05:45:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.5,100.16,4744.84,424.4,231.31,32.44,1.796
2026-09-01T05:50:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.57,101.61,4694.44,429.71,249.47,33.46,1.658
2026-09-01T05:55:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,24.78,100.11,5250.96,431.48,267.23,34.55,1.69
2026-09-01T06:00:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.38,102.4,5017.96,414.21,250.63,37.09,1.609
2026-09-01T06:05:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.78,102.02,5167.58,436.71,249.12,37.7,1.9
2026-09-01T06:10:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.96,101.57,5219.27,425.11,232.51,35.29,1.97
2026-09-01T06:15:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.99,101.88,4974.67,419.22,253.74,35.83,1.613
2026-09-01T06:20:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.33,101.35,5126.75,419.59,261.09,33.71,1.593
2026-09-01T06:25:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.86,100.87,5040.15,416.32,252.65,36.16,1.617
2026-09-01T06:30:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.03,100.25,4907.6,426.02,250.68,33.24,1.687
2026-09-01T06:35:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.6,102.27,5084.08,429.69,233.89,36.59,1.951
2026-09-01T06:40:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.4,100.11,4851.76,431.08,234.79,37.72,1.867
2026-09-01T06:45:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.6,101.89,5046.13,427.48,259.88,33.32,1.658
2026-09-01T06:50:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.68,100.17,4836.13,429.3,253.1,32.99,1.67
2026-09-01T06:55:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.84,100.41,5122.26,413.65,244.3,35.39,1.7
2026-09-01T07:00:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,21.64,101.64,4635.7,424.08,265.04,34.27,1.445
2026-09-01T07:05:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.56,100.88,5261.23,422.1,234.18,36.99,1.938
2026-09-01T07:10:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.76,100.3,4519.38,425.95,225.76,34.1,1.773
2026-09-01T07:15:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,24.75,101.97,5151.75,431.1,230.66,33.2,2.024
2026-09-01T07:20:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,21.6,100.47,4626.22,429.07,246.11,33.31,1.659
2026-09-01T07:25:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.0,101.94,4667.79,427.57,237.39,32.69,1.74
2026-09-01T07:30:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.6,102.42,4608.1,413.62,247.68,36.06,1.499
2026-09-01T07:35:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,26.29,101.05,5215.01,414.82,232.69,35.76,1.862
2026-09-01T07:40:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,22.01,101.95,5350.29,427.41,264.09,37.9,1.713
2026-09-01T07:45:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.41,100.93,4928.38,421.89,244.45,34.05,1.714
2026-09-01T07:50:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.75,102.07,4605.54,436.06,247.0,36.97,1.707
2026-09-01T07:55:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.04,101.15,5233.8,436.17,263.01,36.85,1.776
2026-09-01T08:00:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,24.19,101.26,4935.57,430.54,259.69,37.11,1.653
2026-09-01T08:05:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,25.65,100.31,5381.63,418.85,244.41,35.66,1.84
2026-09-01T08:10:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.39,100.17,5350.95,417.36,254.09,36.79,1.712
2026-09-01T08:15:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,23.2,102.21,5201.18,419.63,263.94,37.69,1.587
2026-09-01T08:20:00+00:00,DAC-DEMO-01,OPCUA_SIMULATOR,21.93,101.83,4988.58,431.2,241.87,35.88,1.851
